"dbdb6bbb","Nephtan","2025-09-06T14:25:50-05:00","Added files for XMLSpawner Conversion Process"
"be374f0e","Nephtan","2025-09-02T19:00:18-05:00","Bard Song Magic Documentation"
"4bf74aa7","Nephtan","2025-08-29T13:18:08-05:00","Update TheNecromancer.cs"
"9d25891a","Nephtan","2025-08-29T13:14:17-05:00","Create TheNecromancer.cs"
"be5efec3","Nephtan","2025-08-29T12:09:35-05:00","Update CloneOfflinePlayerCharacters.cs"
"c57bfb23","Nephtan","2025-08-29T11:46:37-05:00","Update Regions.xml"
"af2cf241","Nephtan","2025-08-29T11:29:27-05:00","Update Regions.xml"
"7fd511a6","Nephtan","2025-08-29T11:04:11-05:00","Revert "Dio's new dungeon regions first draft on test""
"e023d4d8","Nephtan","2025-08-29T10:54:50-05:00","Dio's new dungeon regions first draft on test"
"304914f2","Nephtan","2025-08-29T10:16:34-05:00","Boat Core Mechanics Documentation"
"32656db8","Nephtan","2025-08-29T10:05:10-05:00","Bulk Order System Documentation"
"83185584","Nephtan","2025-08-28T21:51:51-05:00","Champion Spawn Documentation"
"996b691b","Nephtan","2025-08-28T21:41:38-05:00","Homestead System Documentation"
"d8a70384","Nephtan","2025-08-27T20:58:13-05:00","OmniAI Documentation"
"32f26f59","Nephtan","2025-08-27T20:56:24-05:00","OmniAI Documentation"
"7b6d9666","Nephtan","2025-08-27T20:46:11-05:00","Update Government_System.md"
"c4466a55","Nephtan","2025-08-27T20:35:18-05:00","Government System Documentation"
"8f24d218","Nephtan","2025-08-27T17:26:57-05:00","XML Spawner Documentation"
"769090dd","Nephtan","2025-08-27T17:12:48-05:00","Invasion System Documentation"
"1b34c579","Nephtan","2025-08-27T17:08:37-05:00","Update AGENTS.md"
"e13d92fc","Nephtan","2025-08-27T17:05:39-05:00","Random Encounter Engine Documentation"
"c5eb4eb0","Nephtan","2025-08-26T21:34:15-05:00","NPC Control Commands Documentation"
"be64b887","Nephtan","2025-08-26T21:25:13-05:00","Change Season Command Documentation"
"9f507a15","Nephtan","2025-08-26T21:21:28-05:00","Staff Toolbar Documentation"
"012b7428","Nephtan","2025-08-26T21:12:51-05:00","Clear Deck Command Documentation"
"c31a2f7f","Nephtan","2025-08-26T21:11:39-05:00","Rename files to match SystemAudit.md"
"f1e3eb7e","Nephtan","2025-08-26T21:03:15-05:00","GM Hiding Stone Doducmentation"
"eba73828","Nephtan","2025-08-26T20:59:02-05:00","Access Level Stone Documentation"
"ee3ab4d7","Nephtan","2025-08-26T20:58:44-05:00","Updated name of AGENT.md file to AGENTS.md"
"79f7aead","Nephtan","2025-08-26T20:44:04-05:00","Update SystemAudit.md"
"210a17f5","Nephtan","2025-08-26T20:33:23-05:00","Update SystemAudit.md"
"b7947658","Nephtan","2025-08-26T20:22:24-05:00","Update SystemAudit.md"
"5b0e963c","Nephtan","2025-08-26T20:11:11-05:00","Create SystemAudit.md"
"2a21ae88","Nephtan","2025-08-26T19:53:34-05:00","Move location of wiki documents"
"849338bf","Nephtan","2025-08-25T19:52:37-05:00","Merge pull request #22 from Nephtan/codex/generate-player-facing-wiki-from-code"
"44f1ebb0","Nephtan","2025-08-25T19:51:56-05:00","Add initial game system documentation"
"8b2ab40e","Nephtan","2025-08-25T18:43:10-05:00","Update CityRentedVendor.cs"
"e379cf7d","Nephtan","2025-08-24T17:03:33-05:00","Fixed syntax errors in government system."
"0ba328e5","Nephtan","2025-08-24T16:55:59-05:00","Government System: Accelerated Testing Mode"
"64a0e00a","Nephtan","2025-08-24T16:08:03-05:00","City System NPC Positioning Fixes"
"8b2ad847","Nephtan","2025-08-24T12:14:18-05:00","Update CityVotingStone.cs"
"bf60c656","Nephtan","2025-08-24T11:17:17-05:00","Player City "Banning" Fixes"
